Time,Close,High,Low,Open,Volume
2021-03-18 06:00:00 +0000 UTC,48734.500000,49298.700000,48500.000000,49242.890000,508.407837
2021-03-18 00:00:00 +0000 UTC,49262.140000,49649.990000,48915.620000,49146.680000,253.331318
2021-03-17 18:00:00 +0000 UTC,49129.260000,49200.000000,46656.270000,46656.270000,946.447676
2021-03-17 12:00:00 +0000 UTC,46667.770000,46777.470000,45575.000000,46144.480000,491.374934
2021-03-17 06:00:00 +0000 UTC,46162.940000,47359.150000,45731.880000,47057.460000,575.702737
2021-03-17 00:00:00 +0000 UTC,47088.780000,48000.000000,46412.820000,47786.650000,166.122554
2021-03-16 18:00:00 +0000 UTC,47800.000000,47800.000000,46252.610000,46422.140000,319.907298
2021-03-16 12:00:00 +0000 UTC,46422.200000,47132.000000,45711.420000,46444.830000,548.775233
2021-03-16 06:00:00 +0000 UTC,46410.470000,47422.860000,45023.000000,45344.500000,800.657750
2021-03-16 00:00:00 +0000 UTC,45350.310000,47091.600000,44753.130000,46682.320000,562.512928
2021-03-15 18:00:00 +0000 UTC,46715.080000,47764.740000,46660.000000,47006.610000,342.901883
2021-03-15 12:00:00 +0000 UTC,47004.510000,48112.990000,46164.910000,47178.080000,924.998076
2021-03-15 06:00:00 +0000 UTC,47183.630000,49761.080000,46000.000000,49441.650000,1860.261407
2021-03-15 00:00:00 +0000 UTC,49447.660000,50595.070000,49150.000000,49382.430000,217.120648
2021-03-14 18:00:00 +0000 UTC,49381.870000,50680.000000,49319.370000,49319.490000,374.810972
2021-03-14 12:00:00 +0000 UTC,49350.290000,50193.290000,49250.000000,50086.610000,373.124777
2021-03-14 06:00:00 +0000 UTC,50126.360000,50578.040000,49244.000000,50218.030000,430.590282
2021-03-14 00:00:00 +0000 UTC,50223.050000,50555.000000,50006.800000,50153.050000,120.558877
